id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
2073,der Flugschein,der (maskulin),Flugschein,flight ticket,Travel & Transportation,Ich habe meinen Flugschein verloren.,I lost my flight ticket.,Flugscheine,—
2074,das Übergepäck,das (neutrum),Übergepäck,excess luggage,Travel & Transportation,Für Übergepäck muss ich zahlen.,I have to pay for excess luggage.,— (Unzählbar),—
2075,der Abflug,der (maskulin),Abflug,departure,Travel & Transportation,Der Abflug ist um 15 Uhr.,The departure is at 3 PM.,Abflüge,—
2076,der Ausgang,der (maskulin),Ausgang,exit,Travel & Transportation,Wo ist der Ausgang?,Where is the exit?,Ausgänge,—
2077,der Check-in-Schalter,der (maskulin),Check-in-Schalter,check-in counter,Travel & Transportation,Der Check-in-Schalter ist geschlossen.,The check-in counter is closed.,Check-in-Schalter,—
2078,der Flug,der (maskulin),Flug,flight,Travel & Transportation,Der Flug war lang.,The flight was long.,Flüge,—
2079,der Flughafen,der (maskulin),Flughafen,airport,Travel & Transportation,Der Flughafen ist groß.,The airport is large.,Flughäfen,—
2080,der Flugsteig,der (maskulin),Flugsteig,gate,Travel & Transportation,Unser Flugsteig ist 42.,Our gate is 42.,Flugsteige,—
2081,der Gepäckwagen,der (maskulin),Gepäckwagen,luggage cart,Travel & Transportation,Ich brauche einen Gepäckwagen.,I need a luggage cart.,Gepäckwagen,—
2082,der Koffer,der (maskulin),Koffer,suitcase,Travel & Transportation,Mein Koffer ist kaputt.,My suitcase is broken.,Koffer,—
2083,der Reisepass,der (maskulin),Reisepass,passport,Travel & Transportation,Zeigen Sie bitte Ihren Reisepass.,Please show your passport.,Reisepässe,—
2084,der Weiterflug,der (maskulin),Weiterflug,connecting flight,Travel & Transportation,Mein Weiterflug geht nach Berlin.,My connecting flight goes to Berlin.,Weiterflüge,—
2085,der Anschlussflug,der (maskulin),Anschlussflug,connecting flight,Travel & Transportation,Der Anschlussflug hat Verspätung.,The connecting flight is delayed.,Anschlussflüge,—
2086,der Zoll,der (maskulin),Zoll,customs,Travel & Transportation,Beim Zoll muss ich warten.,I have to wait at customs.,— (Unzählbar),—
2087,die Ankunft,die (feminin),Ankunft,arrival,Travel & Transportation,Die Ankunft ist um 18 Uhr.,The arrival is at 6 PM.,Ankünfte,Ankunft
2088,die Anzeigetafel,die (feminin),Anzeigetafel,display board,Travel & Transportation,Auf der Anzeigetafel steht Abflug.,The display board says departure.,Anzeigetafeln,Anzeigetafel
2089,die Bordkarte,die (feminin),Bordkarte,boarding pass,Travel & Transportation,Ich habe meine Bordkarte vergessen.,I forgot my boarding pass.,Bordkarten,Bordkarte
2090,die Fluggesellschaft,die (feminin),Fluggesellschaft,airline,Travel & Transportation,Die Fluggesellschaft ist Lufthansa.,The airline is Lufthansa.,Fluggesellschaften,Fluggesellschaft
2091,die Gepäckausgabe,die (feminin),Gepäckausgabe,baggage claim,Travel & Transportation,Die Gepäckausgabe ist im Erdgeschoss.,Baggage claim is on the ground floor.,Gepäckausgaben,Gepäckausgabe
2092,die Gepäckrückgabe,die (feminin),Gepäckrückgabe,baggage drop-off,Travel & Transportation,Die Gepäckrückgabe ist geöffnet.,The baggage drop-off is open.,Gepäckrückgaben,Gepäckrückgabe
2093,die Sicherheitskontrolle,die (feminin),Sicherheitskontrolle,security check,Travel & Transportation,Die Sicherheitskontrolle dauert lange.,Security check takes a long time.,Sicherheitskontrollen,Sicherheitskontrolle
2094,die Verspätung,die (feminin),Verspätung,delay,Travel & Transportation,Der Flug hat Verspätung.,The flight is delayed.,Verspätungen,Verspätung
2095,Nichts zu verzollen,Phrase,—,Nothing to declare,Travel & Transportation,Ich habe nichts zu verzollen.,I have nothing to declare.,—,—
2096,das Restaurant,das (neutrum),Restaurant,restaurant,Food & Dining,Das Restaurant ist voll.,The restaurant is full.,Restaurants,—
2097,der Tisch,der (maskulin),Tisch,table,Food & Dining,Der Tisch ist frei.,The table is free.,Tische,—
2098,die Speisekarte,die (feminin),Speisekarte,menu,Food & Dining,Die Speisekarte ist lang.,The menu is long.,Speisekarten,Speisekarte
2099,der Kellner,der (maskulin),Kellner,waiter,Food & Dining,Der Kellner ist freundlich.,The waiter is friendly.,Kellner,Kellnerin
2100,die Reservierung,die (feminin),Reservierung,reservation,Food & Dining,Ich habe eine Reservierung.,I have a reservation.,Reservierungen,Reservierung
2101,die Vorspeise,die (feminin),Vorspeise,appetizer,Food & Dining,Die Vorspeise ist klein.,The appetizer is small.,Vorspeisen,Vorspeise
2102,das Hauptgericht,das (neutrum),Hauptgericht,main course,Food & Dining,Das Hauptgericht ist lecker.,The main course is delicious.,Hauptgerichte,—
2103,die Beilage,die (feminin),Beilage,side dish,Food & Dining,Die Beilage ist Kartoffeln.,The side dish is potatoes.,Beilagen,Beilage
2104,der Nachtisch,der (maskulin),Nachtisch,dessert,Food & Dining,Der Nachtisch ist süß.,The dessert is sweet.,Nachtische,—
2105,das Tagesgericht,das (neutrum),Tagesgericht,dish of the day,Food & Dining,Das Tagesgericht ist günstig.,The dish of the day is cheap.,Tagesgerichte,—
2106,die Spezialität,die (feminin),Spezialität,specialty,Food & Dining,Die Spezialität ist Fisch.,The specialty is fish.,Spezialitäten,Spezialität
2107,das Getränk,das (neutrum),Getränk,drink,Food & Dining,Das Getränk ist kalt.,The drink is cold.,Getränke,—
2108,das Wasser,das (neutrum),Wasser,water,Food & Dining,Ich trinke Wasser.,I drink water.,— (Unzählbar),—
2109,das Bier,das (neutrum),Bier,beer,Food & Dining,Das Bier ist kalt.,The beer is cold.,Bier/Biere,—
2110,der Wein,der (maskulin),Wein,wine,Food & Dining,Der Wein ist rot.,The wine is red.,Weine,—
2111,der Kaffee,der (maskulin),Kaffee,coffee,Food & Dining,Der Kaffee ist heiß.,The coffee is hot.,— (Unzählbar),—
2112,das Fleisch,das (neutrum),Fleisch,meat,Food & Dining,Das Fleisch ist fertig.,The meat is done.,— (Unzählbar),—
2113,der Fisch,der (maskulin),Fisch,fish,Food & Dining,Der Fisch ist frisch.,The fish is fresh.,Fische,—
2114,vegetarisch,adjektiv,Vegetarisch,vegetarian,Food & Dining,Ich esse vegetarisch.,I eat vegetarian.,—,—
2115,vegan,adjektiv,Vegan,vegan,Food & Dining,Das Essen ist vegan.,The food is vegan.,—,—
2116,die Rechnung,die (feminin),Rechnung,bill,Food & Dining,Die Rechnung bitte!,The bill please!,Rechnungen,Rechnung
2117,das Trinkgeld,das (neutrum),Trinkgeld,tip,Food & Dining,Das Trinkgeld ist inklusive.,The tip is included.,Trinkgelder,—
2118,Guten Appetit,Phrase,—,Enjoy your meal,Food & Dining,Guten Appetit!,Enjoy your meal!,—,—
2119,Prost,Phrase,—,Cheers,Food & Dining,Prost!,Cheers!,—,—
2120,lecker,adjektiv,Lecker,delicious,Food & Dining,Das Essen ist lecker.,The food is delicious.,—,—
2121,bestellen,Verb,bestellen,to order,Food & Dining,Ich möchte bestellen.,I would like to order.,—,—
2122,zahlen,Verb,zahlen,to pay,Food & Dining,Ich muss zahlen.,I have to pay.,—,—
2123,bezahlen,Verb,bezahlen,to pay,Food & Dining,Ich bezahle mit Karte.,I pay with card.,—,—
2124,die Hauptspeise,die (feminin),Hauptspeise,main course,Food & Dining,Die Hauptspeise ist groß.,The main course is large.,Hauptspeisen,Hauptspeise
2125,die Nachspeise,die (feminin),Nachspeise,dessert,Food & Dining,Die Nachspeise ist köstlich.,The dessert is delicious.,Nachspeisen,Nachspeise
2126,das Hotel,das (neutrum),Hotel,hotel,Accommodation,Das Hotel ist bequem.,The hotel is comfortable.,Hotels,—
2127,die Rezeption,die (feminin),Rezeption,reception,Accommodation,Die Rezeption ist rund um die Uhr besetzt.,The reception is staffed 24/7.,—,Rezeption
2128,der Rezeptionist,der (maskulin),Rezeptionist,receptionist,Accommodation,Der Rezeptionist ist hilfsbereit.,The receptionist is helpful.,Rezeptionisten,Rezeptionistin
2129,die Reservierung,die (feminin),Reservierung,reservation,Accommodation,Ich habe eine Reservierung.,I have a reservation.,Reservierungen,Reservierung
2130,die Buchung,die (feminin),Buchung,booking,Accommodation,Die Buchung ist bestätigt.,The booking is confirmed.,Buchungen,Buchung
2131,der Schlüssel,der (maskulin),Schlüssel,key,Accommodation,Der Schlüssel ist im Zimmer.,The key is in the room.,Schlüssel,—
2132,die Schlüsselkarte,die (feminin),Schlüsselkarte,key card,Accommodation,Die Schlüsselkarte funktioniert nicht.,The key card doesn't work.,Schlüsselkarten,Schlüsselkarte
2133,der Reisepass,der (maskulin),Reisepass,passport,Accommodation,Der Reisepass liegt an der Rezeption.,The passport is at reception.,Reisepässe,—
2134,das Formular,das (neutrum),Formular,form,Accommodation,Das Formular muss ausgefüllt werden.,The form must be filled out.,Formulare,—
2135,das Zimmer,das (neutrum),Zimmer,room,Accommodation,Das Zimmer ist groß.,The room is large.,Zimmer,—
2136,das Einzelzimmer,das (neutrum),Einzelzimmer,single room,Accommodation,Das Einzelzimmer ist günstiger.,The single room is cheaper.,Einzelzimmer,—
2137,das Doppelzimmer,das (neutrum),Doppelzimmer,double room,Accommodation,Das Doppelzimmer hat zwei Betten.,The double room has two beds.,Doppelzimmer,—
2138,das Bett,das (neutrum),Bett,bed,Accommodation,Das Bett ist weich.,The bed is soft.,Betten,—
2139,das Badezimmer,das (neutrum),Badezimmer,bathroom,Accommodation,Das Badezimmer ist sauber.,The bathroom is clean.,Badezimmer,—
2140,die Dusche,die (feminin),Dusche,shower,Accommodation,Die Dusche hat warmes Wasser.,The shower has hot water.,Duschen,Dusche
2141,das Handtuch,das (neutrum),Handtuch,towel,Accommodation,Das Handtuch ist feucht.,The towel is damp.,Handtücher,—
2142,die Klimaanlage,die (feminin),Klimaanlage,air conditioning,Accommodation,Die Klimaanlage ist stark.,The air conditioning is strong.,Klimaanlagen,Klimaanlage
2143,die Heizung,die (feminin),Heizung,heating,Accommodation,Die Heizung ist warm.,The heating is warm.,Heizungen,Heizung
2144,der Fernseher,der (maskulin),Fernseher,TV,Accommodation,Der Fernseher ist groß.,The TV is large.,Fernseher,—
2145,das WLAN,das (neutrum),WLAN,Wi-Fi,Accommodation,Das WLAN ist kostenlos.,The Wi-Fi is free.,—,—
2146,der Aufzug,der (maskulin),Aufzug,elevator,Accommodation,Der Aufzug ist schnell.,The elevator is fast.,Aufzüge,—
2147,die Etage,die (feminin),Etage,floor,Accommodation,Das Zimmer ist in der 3. Etage.,The room is on the 3rd floor.,Etagen,Etage
2148,das Frühstück,das (neutrum),Frühstück,breakfast,Accommodation,Das Frühstück ist inklusive.,Breakfast is included.,Frühstücke,—
2149,der Zimmerservice,der (maskulin),Zimmerservice,room service,Accommodation,Der Zimmerservice ist teuer.,Room service is expensive.,—,—
2150,der Wäscheservice,der (maskulin),Wäscheservice,laundry service,Accommodation,Der Wäscheservice kostet extra.,Laundry service costs extra.,—,—
2151,der Parkplatz,der (maskulin),Parkplatz,parking,Accommodation,Der Parkplatz ist frei.,The parking is free.,Parkplätze,—
2152,der Pool,der (maskulin),Pool,pool,Accommodation,Der Pool ist offen.,The pool is open.,Pools,—
2153,das Fitnessstudio,das (neutrum),Fitnessstudio,gym,Accommodation,Das Fitnessstudio ist modern.,The gym is modern.,Fitnessstudios,—
2154,der Wellnessbereich,der (maskulin),Wellnessbereich,wellness area,Accommodation,Der Wellnessbereich ist ruhig.,The wellness area is quiet.,Wellnessbereiche,—
2155,die Anreise,die (feminin),Anreise,arrival,Accommodation,Die Anreise ist ab 15 Uhr.,Arrival is from 3 PM.,—,Anreise
2156,die Abreise,die (feminin),Abreise,departure/check-out,Accommodation,Die Abreise ist bis 11 Uhr.,Check-out is until 11 AM.,—,Abreise
2157,die Rechnung,die (feminin),Rechnung,bill,Accommodation,Die Rechnung ist korrekt.,The bill is correct.,Rechnungen,Rechnung
2158,das Trinkgeld,das (neutrum),Trinkgeld,tip,Accommodation,Das Trinkgeld ist optional.,The tip is optional.,Trinkgelder,—
2159,der Safe,der (maskulin),Safe,safe,Accommodation,Der Safe ist im Zimmer.,The safe is in the room.,Safes,—
2160,der Notausgang,der (maskulin),Notausgang,emergency exit,Accommodation,Der Notausgang ist rechts.,The emergency exit is on the right.,Notausgänge,—
2161,buchen,Verb,buchen,to book,Accommodation,Ich möchte buchen.,I would like to book.,—,—
2162,reservieren,Verb,reservieren,to reserve,Accommodation,Ich möchte reservieren.,I would like to reserve.,—,—
2163,einchecken,Verb,einchecken,to check in,Accommodation,Ich muss einchecken.,I need to check in.,—,—
2164,auschecken,Verb,auschecken,to check out,Accommodation,Ich muss auschecken.,I need to check out.,—,—
2165,bezahlen,Verb,bezahlen,to pay,Accommodation,Ich bezahle mit Karte.,I pay with card.,—,—
2166,stornieren,Verb,stornieren,to cancel,Accommodation,Ich möchte stornieren.,I would like to cancel.,—,—
2167,das Stockwerk,das (neutrum),Stockwerk,floor,Accommodation,Das Zimmer ist im 2. Stockwerk.,The room is on the 2nd floor.,Stockwerke,—
2168,das Geschäft,das (neutrum),Geschäft,shop/store,Shopping & Fashion,Das Geschäft ist klein.,The shop is small.,Geschäfte,—
2169,der Laden,der (maskulin),Laden,shop/store,Shopping & Fashion,Der Laden ist offen.,The store is open.,Läden,—
2170,der Supermarkt,der (maskulin),Supermarkt,supermarket,Shopping & Fashion,Der Supermarkt ist groß.,The supermarket is large.,Supermärkte,—
2171,das Kaufhaus,das (neutrum),Kaufhaus,department store,Shopping & Fashion,Das Kaufhaus hat viele Stockwerke.,The department store has many floors.,Kaufhäuser,—
2172,das Einkaufszentrum,das (neutrum),Einkaufszentrum,shopping mall,Shopping & Fashion,Das Einkaufszentrum ist voll.,The shopping mall is crowded.,Einkaufszentren,—
2173,die Kasse,die (feminin),Kasse,cashier/check-out,Shopping & Fashion,Die Kasse ist besetzt.,The cashier is occupied.,Kassen,Kasse
2174,die Umkleidekabine,die (feminin),Umkleidekabine,fitting room,Shopping & Fashion,Die Umkleidekabine ist frei.,The fitting room is free.,Umkleidekabinen,Umkleidekabine
2175,der Ausgang,der (maskulin),Ausgang,exit,Shopping & Fashion,Der Ausgang ist rechts.,The exit is on the right.,Ausgänge,—
2176,der Eingang,der (maskulin),Eingang,entrance,Shopping & Fashion,Der Eingang ist links.,The entrance is on the left.,Eingänge,—
2177,der Preis,der (maskulin),Preis,price,Shopping & Fashion,Der Preis ist hoch.,The price is high.,Preise,—
2178,das Geld,das (neutrum),Geld,money,Shopping & Fashion,Das Geld ist weg.,The money is gone.,— (Unzählbar),—
2179,die Rechnung,die (feminin),Rechnung,bill/receipt,Shopping & Fashion,Die Rechnung bitte!,The bill please!,Rechnungen,Rechnung
2180,die Quittung,die (feminin),Quittung,receipt,Shopping & Fashion,Die Quittung ist wichtig.,The receipt is important.,Quittungen,Quittung
2181,der Kassenbon,der (maskulin),Kassenbon,receipt,Shopping & Fashion,Der Kassenbon ist lang.,The receipt is long.,Kassenbons,—
2182,das Bargeld,das (neutrum),Bargeld,cash,Shopping & Fashion,Ich habe Bargeld dabei.,I have cash with me.,— (Unzählbar),—
2183,die Kreditkarte,die (feminin),Kreditkarte,credit card,Shopping & Fashion,Die Kreditkarte wird akzeptiert.,Credit card is accepted.,Kreditkarten,Kreditkarte
2184,die Bankkarte,die (feminin),Bankkarte,bank card,Shopping & Fashion,Die Bankkarte funktioniert nicht.,The bank card doesn't work.,Bankkarten,Bankkarte
2185,das Wechselgeld,das (neutrum),Wechselgeld,change,Shopping & Fashion,Das Wechselgeld stimmt nicht.,The change is wrong.,— (Unzählbar),—
2186,das Trinkgeld,das (neutrum),Trinkgeld,tip,Shopping & Fashion,Das Trinkgeld ist optional.,The tip is optional.,Trinkgelder,—
2187,der Rabatt,der (maskulin),Rabatt,discount,Shopping & Fashion,Der Rabatt ist groß.,The discount is large.,Rabatte,—
2188,das Angebot,das (neutrum),Angebot,offer/deal,Shopping & Fashion,Das Angebot ist gut.,The offer is good.,Angebote,—
2189,der Ausverkauf,der (maskulin),Ausverkauf,sale/clearance,Shopping & Fashion,Der Ausverkauf ist jetzt.,The sale is now.,Ausverkäufe,—
2190,die Ware,die (feminin),Ware,goods/merchandise,Shopping & Fashion,Die Ware ist gut.,The goods are good.,Waren,Ware
2191,das Produkt,das (neutrum),Produkt,product,Shopping & Fashion,Das Produkt ist neu.,The product is new.,Produkte,—
2192,die Kleidung,die (feminin),Kleidung,clothing,Shopping & Fashion,Die Kleidung ist schön.,The clothing is nice.,— (Unzählbar),Kleidung
2193,das Lebensmittel,das (neutrum),Lebensmittel,food/grocery,Shopping & Fashion,Das Lebensmittel ist frisch.,The food is fresh.,Lebensmittel,—
2194,die Einkaufstüte,die (feminin),Einkaufstüte,shopping bag,Shopping & Fashion,Die Einkaufstüte ist leer.,The shopping bag is empty.,Einkaufstüten,Einkaufstüte
2195,der Einkaufskorb,der (maskulin),Einkaufskorb,shopping basket,Shopping & Fashion,Der Einkaufskorb ist voll.,The shopping basket is full.,Einkaufskörbe,—
2196,der Einkaufswagen,der (maskulin),Einkaufswagen,shopping cart,Shopping & Fashion,Der Einkaufswagen ist kaputt.,The shopping cart is broken.,Einkaufswagen,—
2197,die Größe,die (feminin),Größe,size,Shopping & Fashion,Die Größe ist M.,The size is M.,Größen,Größe
2198,die Farbe,die (feminin),Farbe,color,Shopping & Fashion,Die Farbe ist rot.,The color is red.,Farben,Farbe
2199,einkaufen,Verb,einkaufen,to shop,Shopping & Fashion,Ich möchte einkaufen.,I want to shop.,—,—
2200,kaufen,Verb,kaufen,to buy,Shopping & Fashion,Ich kaufe ein Hemd.,I buy a shirt.,—,—
2201,bezahlen,Verb,bezahlen,to pay,Shopping & Fashion,Ich bezahle mit Karte.,I pay with card.,—,—
2202,umtauschen,Verb,umtauschen,to exchange,Shopping & Fashion,Ich möchte umtauschen.,I want to exchange.,—,—
2203,anprobieren,Verb,anprobieren,to try on,Shopping & Fashion,Ich probiere es an.,I try it on.,—,—
2204,suchen,Verb,suchen,to search/look for,Shopping & Fashion,Ich suche Schuhe.,I'm looking for shoes.,—,—
2205,sparen,Verb,sparen,to save,Shopping & Fashion,Ich spare Geld.,I save money.,—,—
2206,kosten,Verb,kosten,to cost,Shopping & Fashion,Es kostet 20 Euro.,It costs 20 euros.,—,—
2207,teuer,adjektiv,teuer,expensive,Shopping & Fashion,Das ist teuer.,That is expensive.,—,—
2208,billig,adjektiv,billig,cheap,Shopping & Fashion,Das ist billig.,That is cheap.,—,—
2209,günstig,adjektiv,günstig,cheap/affordable,Shopping & Fashion,Das ist günstig.,That is affordable.,—,—
2210,reduziert,adjektiv,reduziert,reduced,Shopping & Fashion,Das ist reduziert.,That is reduced.,—,—
2211,gratis,adjektiv,gratis,free,Shopping & Fashion,Das ist gratis.,That is free.,—,—
2212,kostenlos,adjektiv,kostenlos,free,Shopping & Fashion,Das ist kostenlos.,That is free.,—,—
2213,geöffnet,adjektiv,geöffnet,open,Shopping & Fashion,Der Laden ist geöffnet.,The store is open.,—,—
2214,geschlossen,adjektiv,geschlossen,closed,Shopping & Fashion,Der Laden ist geschlossen.,The store is closed.,—,—
2215,die Straße,die (feminin),Straße,street,Travel & Transportation,Die Straße ist lang.,The street is long.,Straßen,Straße
2216,die Kreuzung,die (feminin),Kreuzung,intersection,Travel & Transportation,Die Kreuzung ist gefährlich.,The intersection is dangerous.,Kreuzungen,Kreuzung
2217,die Ecke,die (feminin),Ecke,corner,Travel & Transportation,Die Ecke ist scharf.,The corner is sharp.,Ecken,Ecke
2218,die Ampel,die (feminin),Ampel,traffic light,Travel & Transportation,Die Ampel ist rot.,The traffic light is red.,Ampeln,Ampel
2219,der Kreisverkehr,der (maskulin),Kreisverkehr,roundabout,Travel & Transportation,Der Kreisverkehr ist groß.,The roundabout is large.,Kreisverkehre,—
2220,der Kreisel,der (maskulin),Kreisel,roundabout/spinner,Travel & Transportation,Der Kreisel ist voll.,The roundabout is full.,Kreisel,—
2221,die Brücke,die (feminin),Brücke,bridge,Travel & Transportation,Die Brücke ist alt.,The bridge is old.,Brücken,Brücke
2222,der Bahnhof,der (maskulin),Bahnhof,train station,Travel & Transportation,Der Bahnhof ist weit weg.,The train station is far away.,Bahnhöfe,—
2223,die Bushaltestelle,die (feminin),Bushaltestelle,bus stop,Travel & Transportation,Die Bushaltestelle ist nah.,The bus stop is near.,Bushaltestellen,Bushaltestelle
2224,das Zentrum,das (neutrum),Zentrum,center,Travel & Transportation,Das Zentrum ist voll.,The center is crowded.,Zentren,—
2225,die Stadtmitte,die (feminin),Stadtmitte,city center,Travel & Transportation,Die Stadtmitte ist weit.,The city center is far.,—,Stadtmitte
2226,das Ziel,das (neutrum),Ziel,destination/target,Travel & Transportation,Das Ziel ist dekat.,The destination is near.,Ziele,—
2227,rechts,Adverb,Rechts,right,Travel & Transportation,Gehen Sie rechts.,Go right.,—,—
2228,links,Adverb,Links,left,Travel & Transportation,Gehen Sie links.,Go left.,—,—
2229,geradeaus,Adverb,Geradeaus,straight ahead,Travel & Transportation,Gehen Sie geradeaus.,Go straight ahead.,—,—
2230,der Norden,der (maskulin),Norden,north,Travel & Transportation,Der Norden ist kalt.,The north is cold.,—,—
2231,der Süden,der (maskulin),Süden,south,Travel & Transportation,Der Süden ist warm.,The south is warm.,—,—
2232,der Osten,der (maskulin),Osten,east,Travel & Transportation,Der Osten ist grün.,The east is green.,—,—
2233,der Westen,der (maskulin),Westen,west,Travel & Transportation,Der Westen ist stark.,The west is strong.,—,—
2234,vorne,Adverb,Vorne,in front,Travel & Transportation,Es ist vorne.,It's in front.,—,—
2235,hinten,Adverb,Hinten,in back,Travel & Transportation,Es ist hinten.,It's in back.,—,—
2236,oben,Adverb,Oben,up/above,Travel & Transportation,Es ist oben.,It's up above.,—,—
2237,unten,Adverb,Unten,down/below,Travel & Transportation,Es ist unten.,It's down below.,—,—
2238,die Nähe,die (feminin),Nähe,nearness/proximity,Travel & Transportation,In der Nähe ist ein Park.,Nearby is a park.,—,Nähe
2239,die Entfernung,die (feminin),Entfernung,distance,Travel & Transportation,Die Entfernung ist groß.,The distance is large.,Entfernungen,Entfernung
2240,der Kilometer,der (maskulin),Kilometer,kilometer,Travel & Transportation,Der Kilometer ist lang.,The kilometer is long.,Kilometer,—
2241,der Meter,der (maskulin),Meter,meter,Travel & Transportation,Der Meter ist kurz.,The meter is short.,Meter,—
2242,neben,Präposition,Neben,next to,Travel & Transportation,Es ist neben dem Haus.,It's next to the house.,—,—
2243,vor,Präposition,Vor,in front of,Travel & Transportation,Es ist vor dem Haus.,It's in front of the house.,—,—
2244,hinter,Präposition,Hinter,behind,Travel & Transportation,Es ist hinter dem Haus.,It's behind the house.,—,—
2245,zwischen,Präposition,Zwischen,between,Travel & Transportation,Es ist zwischen den Häusern.,It's between the houses.,—,—
2246,gegenüber,Präposition,Gegenüber,opposite,Travel & Transportation,Es ist gegenüber dem Park.,It's opposite the park.,—,—
2247,gehen,Verb,gehen,to walk,Travel & Transportation,Ich gehe zum Bahnhof.,I walk to the station.,—,—
2248,fahren,Verb,fahren,to drive/go,Travel & Transportation,Ich fahre mit dem Auto.,I drive with the car.,—,—
2249,abbiegen,Verb,abbiegen,to turn,Travel & Transportation,Biegen Sie links ab.,Turn left.,—,—
2250,überqueren,Verb,überqueren,to cross,Travel & Transportation,Überqueren Sie die Straße.,Cross the street.,—,—
2251,folgen,Verb,folgen,to follow,Travel & Transportation,Folgen Sie der Straße.,Follow the street.,—,—
2252,finden,Verb,finden,to find,Travel & Transportation,Ich finde es nicht.,I can't find it.,—,—
2253,suchen,Verb,suchen,to search,Travel & Transportation,Ich suche den Bahnhof.,I'm looking for the station.,—,—
2254,wenden,Verb,wenden,to turn around,Travel & Transportation,Wenden Sie hier.,Turn around here.,—,—
2255,stoppen,Verb,stoppen,to stop,Travel & Transportation,Stoppen Sie hier.,Stop here.,—,—
2256,anhalten,Verb,anhalten,to stop/pull over,Travel & Transportation,Halten Sie an.,Pull over.,—,—
2257,die Einbahnstraße,die (feminin),Einbahnstraße,one-way street,Travel & Transportation,Die Einbahnstraße ist links.,The one-way street is on the left.,Einbahnstraßen,Einbahnstraße
2258,die Sackgasse,die (feminin),Sackgasse,dead end,Travel & Transportation,Die Sackgasse ist rechts.,The dead end is on the right.,Sackgassen,Sackgasse
2259,die Fußgängerzone,die (feminin),Fußgängerzone,pedestrian zone,Travel & Transportation,Die Fußgängerzone ist weit.,The pedestrian zone is far.,Fußgängerzonen,Fußgängerzone
2260,die Umleitung,die (feminin),Umleitung,detour,Travel & Transportation,Die Umleitung ist lang.,The detour is long.,Umleitungen,Umleitung
2261,die Baustelle,die (feminin),Baustelle,construction site,Travel & Transportation,Die Baustelle ist groß.,The construction site is large.,Baustellen,Baustelle
2262,der Notruf,der (maskulin),Notruf,emergency call,"Safety, Emergencies & Social Interaction",Der Notruf ist wichtig.,The emergency call is important.,Notrufe,—
2263,die Polizei,die (feminin),Polizei,police,"Safety, Emergencies & Social Interaction",Die Polizei kommt schnell.,The police come quickly.,—,Polizei
2264,die Feuerwehr,die (feminin),Feuerwehr,fire department,"Safety, Emergencies & Social Interaction",Die Feuerwehr löscht das Feuer.,The fire department puts out the fire.,—,Feuerwehr
2265,der Krankenwagen,der (maskulin),Krankenwagen,ambulance,"Safety, Emergencies & Social Interaction",Der Krankenwagen ist schnell.,The ambulance is fast.,Krankenwagen,—
2266,der Rettungswagen,der (maskulin),Rettungswagen,ambulance,"Safety, Emergencies & Social Interaction",Der Rettungswagen kommt.,The ambulance is coming.,Rettungswagen,—
2267,der Notarzt,der (maskulin),Notarzt,emergency doctor,"Safety, Emergencies & Social Interaction",Der Notarzt ist da.,The emergency doctor is here.,Notärzte,—
2268,das Krankenhaus,das (neutrum),Krankenhaus,hospital,"Safety, Emergencies & Social Interaction",Das Krankenhaus ist weit.,The hospital is far.,Krankenhäuser,—
2269,die Apotheke,die (feminin),Apotheke,pharmacy,"Safety, Emergencies & Social Interaction",Die Apotheke ist offen.,The pharmacy is open.,Apotheken,Apotheke
2270,das Opfer,das (neutrum),Opfer,victim,"Safety, Emergencies & Social Interaction",Das Opfer ist verletzt.,The victim is injured.,Opfer,—
2271,der Zeuge,der (maskulin),Zeuge,witness,"Safety, Emergencies & Social Interaction",Der Zeuge sieht alles.,The witness sees everything.,Zeugen,—
2272,der Täter,der (maskulin),Täter,perpetrator,"Safety, Emergencies & Social Interaction",Der Täter ist weg.,The perpetrator is gone.,Täter,—
2273,der/die Verletzte,der/die (maskulin/feminin),Verletzte,injured person,"Safety, Emergencies & Social Interaction",Der Verletzte wird behandelt.,The injured person is being treated.,Verletzte,Verletzte
2274,der Patient,der (maskulin),Patient,patient,"Safety, Emergencies & Social Interaction",Der Patient ist ruhig.,The patient is calm.,Patienten,Patientin
2275,der Unfall,der (maskulin),Unfall,accident,"Safety, Emergencies & Social Interaction",Der Unfall ist schlimm.,The accident is bad.,Unfälle,—
2276,die Verletzung,die (feminin),Verletzung,injury,"Safety, Emergencies & Social Interaction",Die Verletzung ist schmerzhaft.,The injury is painful.,Verletzungen,Verletzung
2277,der Schmerz,der (maskulin),Schmerz,pain,"Safety, Emergencies & Social Interaction",Der Schmerz ist stark.,The pain is strong.,Schmerzen,—
2278,die Wunde,die (feminin),Wunde,wound,"Safety, Emergencies & Social Interaction",Die Wunde blutet.,The wound is bleeding.,Wunden,Wunde
2279,das Blut,das (neutrum),Blut,blood,"Safety, Emergencies & Social Interaction",Das Blut ist rot.,The blood is red.,— (Unzählbar),—
2280,die Blutung,die (feminin),Blutung,bleeding,"Safety, Emergencies & Social Interaction",Die Blutung stoppt.,The bleeding stops.,Blutungen,Blutung
