id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
1985,Die Brücke,die (feminin),Brücke,The Bridge,Travel,Die Brücke führt über den Fluss.,The bridge leads over the river.,Brücken,Brücke
1986,Die Ecke,die (feminin),Ecke,The Corner,Travel,An der nächsten Ecke biegen Sie rechts ab.,Turn right at the next corner.,Ecken,Ecke
1987,Die Fahrkarte,die (feminin),Fahrkarte,The Ticket,Travel,Ich habe meine Fahrkarte vergessen.,I forgot my ticket.,Fahrkarten,Fahrkarte
1988,Die Kreuzung,die (feminin),Kreuzung,The Intersection,Travel,An der Kreuzung sehen Sie ein Café auf der rechten Seite.,"At the intersection, you will see a cafe on the right side.",Kreuzungen,Kreuzung
1989,Die Reise,die (feminin),Reise,The Trip,Travel,Die Reise nach Italien war wunderbar.,The trip to Italy was wonderful.,Reisen,Reise
1990,Die Richtung,die (feminin),Richtung,The Direction,Travel,Folgen Sie dieser Richtung für etwa zwei Kilometer.,Follow this direction for about two kilometers.,Richtungen,Richtung
1991,Die Sehenswürdigkeit,die (feminin),Sehenswürdigkeit,The Attraction,Travel,Der Eiffelturm ist eine berühmte Sehenswürdigkeit.,The Eiffel Tower is a famous attraction.,Sehenswürdigkeiten,—
1992,Die Straße,die (feminin),Straße,The Street,Travel,Die Straße ist wegen Bauarbeiten gesperrt.,The street is closed due to construction work.,Straßen,—
1993,Die Unterkunft,die (feminin),Unterkunft,The Accommodation,Travel,Die Unterkunft war sauber und bequem.,The accommodation was clean and comfortable.,Unterkünfte,—
1994,Fliegen,Verb,Fliegen,To Fly,Travel,Morgen fliegen wir nach Spanien.,Tomorrow we are flying to Spain.,—,—
1995,Mieten,Verb,Mieten,To Rent,Travel,Wir möchten ein Auto mieten.,We want to rent a car.,—,—
1996,Reisen,Verb/Nomen,Reisen,To Travel,Travel,Wir reisen jedes Jahr nach Frankreich.,We travel to France every year.,—,—
1997,Leben,das (neutrum)/Verb,Leben,To Live,Verbs,Sie leben in Berlin.,They live in Berlin.,Leben,—
1998,Beginnen,Verb,Beginnen,To Begin,Verbs,Das Spiel beginnt um acht.,The game begins at eight.,—,—
1999,Bekommen,Verb,Bekommen,To Get,Verbs,Ich habe ein Geschenk bekommen.,I received a gift.,—,—
2000,Bleiben,Verb,Bleiben,To Stay,Verbs,Ich bleibe heute zu Hause.,I am staying at home today.,—,—
2001,Brauchen,Verb,Brauchen,To Need,Verbs,Ich brauche deine Hilfe.,I need your help.,—,—
2002,Bringen,Verb,Bringen,To Bring,Verbs,Kannst du mir ein Glas Wasser bringen?,Can you bring me a glass of water?,—,—
2003,Denken,Verb,Denken,To Think,Verbs,Sie denkt an ihre Familie.,She thinks about her family.,—,—
2004,Dürfen,Verb,Dürfen,To Be Allowed,Verbs,Darf ich hier rauchen?,May I smoke here?,—,—
2005,Erklären,Verb,Erklären,To Explain,Verbs,Kannst du mir das erklären?,Can you explain that to me?,—,—
2006,Fehlen,Verb,Fehlen,To Lack / To Be Missing / To Be Absent,Verbs,Mir fehlt meine Familie.,I miss my family.,—,—
2007,Feiern,Verb,Feiern,To Celebrate,Verbs,Wir feiern seinen Geburtstag.,We are celebrating his birthday.,—,—
2008,Finden,Verb,Finden,To Find,Verbs,Ich kann meinen Schlüssel nicht finden.,I cannot find my key.,—,—
2009,Fühlen,Verb,Fühlen,To Feel,Verbs,Ich fühle mich heute müde.,I feel tired today.,—,—
2010,Geben,Verb,Geben,To Give,Verbs,Kannst du mir das Buch geben?,Can you give me the book?,—,—
2011,Gehen,Verb,Gehen,To Go,Verbs,Sie gehen jeden Morgen spazieren.,They go for a walk every morning.,—,—
2012,Gehören,Verb,Gehören,To Belong,Verbs,Wem gehört dieses Buch?,Who does this book belong to?,—,—
2013,Gewinnen,Verb,Gewinnen,To Win,Verbs,Wir werden das Spiel gewinnen.,We will win the game.,—,—
2014,Haben,Verb,Haben,To Have,Verbs,Ich habe ein neues Buch.,I have a new book.,—,—
2015,Halten,Verb,Halten,To Hold,Verbs,Halten Sie die Tür auf!,Hold the door open!,—,—
2016,Heißen,Verb,Heißen,To Be Called,Verbs,Wie heißt du?,What is your name?,—,—
2017,Hören,Verb,Hören,To Hear,Verbs,Er hört gerne Musik.,He likes to listen to music.,—,—
2018,Kennen,Verb,Kennen,To Know,Verbs,Kennst du diesen Mann?,Do you know this man?,—,—
2019,Kommen,Verb,Kommen,To Come,Verbs,Paul kommt morgen zu Besuch.,Paul is coming for a visit tomorrow.,—,—
2020,Können,Verb,Können,Can / To Be Able To,Verbs,Er kann gut schwimmen.,He can swim well.,—,—
2021,Legen,Verb,Legen,To Put,Verbs,Leg das Buch auf den Tisch.,Put the book on the table.,—,—
2022,Lesen,Verb,Lesen,To Read,Verbs,Sie liest ein interessantes Buch.,She is reading an interesting book.,—,—
2023,Liegen,Verb,Liegen,To Lie,Verbs,Das Buch liegt auf dem Bett.,The book lies on the bed.,—,—
2024,Machen,Verb,Machen,To Make / To Do,Verbs,Er macht seine Hausaufgaben.,He is doing his homework.,—,—
2025,Mögen,Verb,Mögen,To Like,Verbs,Ich mag Schokolade.,I like chocolate.,—,—
2026,Müssen,Verb,Müssen,To Have To,Verbs,Wir müssen jetzt gehen.,We have to go now.,—,—
2027,Nehmen,Verb,Nehmen,To Take,Verbs,Ich nehme einen Kaffee.,I will take a coffee.,—,—
2028,Sagen,Verb,Sagen,To Say,Verbs,Er sagt die Wahrheit.,He tells the truth.,—,—
2029,Scheinen,Verb,Scheinen,To Seem,Verbs,Die Sonne scheint heute.,The sun is shining today.,—,—
2030,Schlafen,Verb,Schlafen,To Sleep,Verbs,Die Katze schläft tief und fest.,The cat is sleeping soundly.,—,—
2031,Schließen,Verb,Schließen,To Close,Verbs,Bitte schließen Sie das Fenster.,Please close the window.,—,—
2032,Sehen,Verb,Sehen,To See,Verbs,Wir sehen den Sonnenuntergang.,We are watching the sunset.,—,—
2033,Sein,Verb,Sein,To Be,Verbs,Ich bin glücklich.,I am happy.,—,—
2034,Sollen,Verb,Sollen,To Should,Verbs,Du sollst mehr Wasser trinken.,You should drink more water.,—,—
2035,Spielen,Verb,Spielen,To Play,Verbs,Die Kinder spielen im Garten.,The children are playing in the garden.,—,—
2036,Sprechen,Verb,Sprechen,To Speak,Verbs,Sie spricht fließend Englisch.,She speaks English fluently.,—,—
2037,Stehen,Verb,Stehen,To Stand,Verbs,Das Glas steht auf dem Tisch.,The glass stands on the table.,—,—
2038,Stellen,Verb,Stellen,To Put,Verbs,Bitte stellen Sie die Tasche hier ab.,Please put the bag down here.,—,—
2039,Suchen,Verb,Suchen,To Search,Verbs,Ich suche meine Brille.,I am looking for my glasses.,—,—
2040,Tun,Verb,Tun,To Do,Verbs,Was kann ich für Sie tun?,What can I do for you?,—,—
2041,Verstehen,Verb,Verstehen,To Understand,Verbs,Ich verstehe die Aufgabe nicht.,I don’t understand the assignment.,—,—
2042,Werden,Verb,Werden,To Become,Verbs,Er wird bald Vater.,He will soon become a father.,—,—
2043,Wohnen,Verb,Wohnen,To Live,Verbs,Maria wohnt in Berlin.,Maria lives in Berlin.,—,—
2044,Wollen,Verb,Wollen,To Want,Verbs,Wir wollen ein neues Auto kaufen.,We want to buy a new car.,—,—
2045,Antworten,Verb/Nomen,Antworten,To Answer,Verbs,Tina antwortet ihrer Freundin.,Tina answers her friend.,Antworten,—
2046,Fragen,Verb/Nomen,Fragen,To Ask,Verbs,Kann ich dich etwas fragen?,Can I ask you something?,Fragen,—
2047,Glauben,Verb/Nomen,Glauben,To Believe,Verbs,Ich glaube dir.,I believe you.,—,—
2048,Schreiben,Verb/Nomen,Schreiben,To Write,Verbs,Er schreibt einen Brief.,He is writing a letter.,—,—
2049,Treffen,Verb/Nomen,Treffen,To Meet,Verbs,Wir treffen uns am Bahnhof.,We meet at the train station.,Treffen,—
2050,Wissen,Verb/Nomen,Wissen,To Know,Verbs,Ich weiß die Antwort nicht.,I don't know the answer.,—,—
2051,Bewölkt,adjektiv,Bewölkt,Cloudy,Weather,Es ist heute leider stark bewölkt.,"Unfortunately, it is heavily cloudy today.",—,—
2052,Sonnig,adjektiv,Sonnig,Sunny,Weather,Morgen wird es sonnig und warm.,Tomorrow it will be sunny and warm.,—,—
2053,Windig,adjektiv,Windig,Windy,Weather,Am Strand ist es immer sehr windig.,It is always very windy at the beach.,—,—
2054,Das Eis,das (neutrum),Eis,The Ice,Weather,"Vorsicht, das Eis auf der Straße ist glatt.","Careful, the ice on the street is slippery.",—,—
2055,Das Gewitter,das (neutrum),Gewitter,The Thunderstorm,Weather,Im Sommer gibt es oft ein Gewitter.,"In summer, there is often a thunderstorm.",Gewitter,—
2056,Das Wetter,das (neutrum),Wetter,The Weather,Weather,Wie ist das Wetter heute in Berlin?,How is the weather in Berlin today?,—,—
2057,Der Blitz,der (maskulin),Blitz,The Lightning,Weather,Der Blitz war gestern Nacht sehr hell.,The lightning was very bright last night.,Blitze,—
2058,Der Grad,der (maskulin),Grad,The Degree,Weather,Wir haben heute minus fünf Grad.,We have minus five degrees today.,Grade/Graden,—
2059,Der Nebel,der (maskulin),Nebel,The Fog,Weather,Man kann im Nebel nichts sehen.,One cannot see anything in the fog.,Nebel,—
2060,Der Regenschirm,der (maskulin),Regenschirm,The Umbrella,Weather,Hast du meinen Regenschirm gesehen?,Have you seen my umbrella?,Regenschirme,—
2061,Der Sonnenschein,der (maskulin),Sonnenschein,The Sunshine,Weather,Wir genießen den warmen Sonnenschein.,We are enjoying the warm sunshine.,—,—
2062,Die Hitze,die (feminin),Hitze,The Heat,Weather,Ich mag die Hitze in der Stadt nicht.,I don’t like the heat in the city.,— (Unzählbar),Hitze
2063,Die Kälte,die (feminin),Kälte,The Cold / Coldness,Weather,Die Kälte im Winter stört mich nicht.,The cold in winter doesn’t bother me.,— (Unzählbar),Kälte
2064,Die Temperatur,die (feminin),Temperatur,The Temperature,Weather,Die Temperatur liegt bei 20 Grad.,The temperature is at 20 degrees.,Temperaturen,—
2065,Regnen,Verb,Regnen,To Rain,Weather,Es fängt an zu regnen.,It is starting to rain.,—,—
2066,Schneien,Verb,Schneien,To Snow,Weather,Im Dezember soll es schneien.,It is supposed to snow in December.,—,—
2067,sich anmelden,Verb,Anmelden,to register/check in,Airport,Ich muss mich am Schalter anmelden.,I need to register at the counter.,—,—
2068,das Boarding,das (neutrum),Boarding,boarding,Airport,Das Boarding beginnt in 10 Minuten.,Boarding starts in 10 minutes.,—,—
2069,das Gepäck,das (neutrum),Gepäck,luggage,Airport,Mein Gepäck ist sehr schwer.,My luggage is very heavy.,— (Unzählbar),—
2070,das Handgepäck,das (neutrum),Handgepäck,carry-on luggage,Airport,Ich nehme nur Handgepäck mit.,I'm only taking carry-on luggage.,— (Unzählbar),—
2071,das Terminal,das (neutrum),Terminal,terminal,Airport,Wir treffen uns am Terminal 3.,We meet at terminal 3.,Terminals,—
2072,das Ticket,das (neutrum),Ticket,ticket,Airport,Mein Ticket ist digital.,My ticket is digital.,Tickets,—
2073,der Flugschein,der (maskulin),Flugschein,flight ticket,Airport,Ich habe meinen Flugschein verloren.,I lost my flight ticket.,Flugscheine,—
2074,das Übergepäck,das (neutrum),Übergepäck,excess luggage,Airport,Für Übergepäck muss ich zahlen.,I have to pay for excess luggage.,— (Unzählbar),—
2075,der Abflug,der (maskulin),Abflug,departure,Airport,Der Abflug ist um 15 Uhr.,The departure is at 3 PM.,Abflüge,—
2076,der Ausgang,der (maskulin),Ausgang,exit,Airport,Wo ist der Ausgang?,Where is the exit?,Ausgänge,—
2077,der Check-in-Schalter,der (maskulin),Check-in-Schalter,check-in counter,Airport,Der Check-in-Schalter ist geschlossen.,The check-in counter is closed.,Check-in-Schalter,—
2078,der Flug,der (maskulin),Flug,flight,Airport,Der Flug war lang.,The flight was long.,Flüge,—
2079,der Flughafen,der (maskulin),Flughafen,airport,Airport,Der Flughafen ist groß.,The airport is large.,Flughäfen,—
2080,der Flugsteig,der (maskulin),Flugsteig,gate,Airport,Unser Flugsteig ist 42.,Our gate is 42.,Flugsteige,—
2081,der Gepäckwagen,der (maskulin),Gepäckwagen,luggage cart,Airport,Ich brauche einen Gepäckwagen.,I need a luggage cart.,Gepäckwagen,—
2082,der Koffer,der (maskulin),Koffer,suitcase,Airport,Mein Koffer ist kaputt.,My suitcase is broken.,Koffer,—
2083,der Reisepass,der (maskulin),Reisepass,passport,Airport,Zeigen Sie bitte Ihren Reisepass.,Please show your passport.,Reisepässe,—
2084,der Weiterflug,der (maskulin),Weiterflug,connecting flight,Airport,Mein Weiterflug geht nach Berlin.,My connecting flight goes to Berlin.,Weiterflüge,—
2085,der Anschlussflug,der (maskulin),Anschlussflug,connecting flight,Airport,Der Anschlussflug hat Verspätung.,The connecting flight is delayed.,Anschlussflüge,—
2086,der Zoll,der (maskulin),Zoll,customs,Airport,Beim Zoll muss ich warten.,I have to wait at customs.,— (Unzählbar),—
2087,die Ankunft,die (feminin),Ankunft,arrival,Airport,Die Ankunft ist um 18 Uhr.,The arrival is at 6 PM.,Ankünfte,Ankunft
2088,die Anzeigetafel,die (feminin),Anzeigetafel,display board,Airport,Auf der Anzeigetafel steht Abflug.,The display board says departure.,Anzeigetafeln,Anzeigetafel
2089,die Bordkarte,die (feminin),Bordkarte,boarding pass,Airport,Ich habe meine Bordkarte vergessen.,I forgot my boarding pass.,Bordkarten,Bordkarte
2090,die Fluggesellschaft,die (feminin),Fluggesellschaft,airline,Airport,Die Fluggesellschaft ist Lufthansa.,The airline is Lufthansa.,Fluggesellschaften,Fluggesellschaft
2091,die Gepäckausgabe,die (feminin),Gepäckausgabe,baggage claim,Airport,Die Gepäckausgabe ist im Erdgeschoss.,Baggage claim is on the ground floor.,Gepäckausgaben,Gepäckausgabe
2092,die Gepäckrückgabe,die (feminin),Gepäckrückgabe,baggage drop-off,Airport,Die Gepäckrückgabe ist geöffnet.,The baggage drop-off is open.,Gepäckrückgaben,Gepäckrückgabe
2093,die Sicherheitskontrolle,die (feminin),Sicherheitskontrolle,security check,Airport,Die Sicherheitskontrolle dauert lange.,Security check takes a long time.,Sicherheitskontrollen,Sicherheitskontrolle
2094,die Verspätung,die (feminin),Verspätung,delay,Airport,Der Flug hat Verspätung.,The flight is delayed.,Verspätungen,Verspätung
2095,Nichts zu verzollen,Phrase,—,Nothing to declare,Airport,Ich habe nichts zu verzollen.,I have nothing to declare.,—,—
2096,das Restaurant,das (neutrum),Restaurant,restaurant,Restaurant,Das Restaurant ist voll.,The restaurant is full.,Restaurants,—
2097,der Tisch,der (maskulin),Tisch,table,Restaurant,Der Tisch ist frei.,The table is free.,Tische,—
2098,die Speisekarte,die (feminin),Speisekarte,menu,Restaurant,Die Speisekarte ist lang.,The menu is long.,Speisekarten,Speisekarte
2099,der Kellner,der (maskulin),Kellner,waiter,Restaurant,Der Kellner ist freundlich.,The waiter is friendly.,Kellner,Kellnerin
2100,die Reservierung,die (feminin),Reservierung,reservation,Restaurant,Ich habe eine Reservierung.,I have a reservation.,Reservierungen,Reservierung
2101,die Vorspeise,die (feminin),Vorspeise,appetizer,Restaurant,Die Vorspeise ist klein.,The appetizer is small.,Vorspeisen,Vorspeise
2102,das Hauptgericht,das (neutrum),Hauptgericht,main course,Restaurant,Das Hauptgericht ist lecker.,The main course is delicious.,Hauptgerichte,—
2103,die Beilage,die (feminin),Beilage,side dish,Restaurant,Die Beilage ist Kartoffeln.,The side dish is potatoes.,Beilagen,Beilage
2104,der Nachtisch,der (maskulin),Nachtisch,dessert,Restaurant,Der Nachtisch ist süß.,The dessert is sweet.,Nachtische,—
2105,das Tagesgericht,das (neutrum),Tagesgericht,dish of the day,Restaurant,Das Tagesgericht ist günstig.,The dish of the day is cheap.,Tagesgerichte,—
2106,die Spezialität,die (feminin),Spezialität,specialty,Restaurant,Die Spezialität ist Fisch.,The specialty is fish.,Spezialitäten,Spezialität
2107,das Getränk,das (neutrum),Getränk,drink,Restaurant,Das Getränk ist kalt.,The drink is cold.,Getränke,—
2108,das Wasser,das (neutrum),Wasser,water,Restaurant,Ich trinke Wasser.,I drink water.,— (Unzählbar),—
2109,das Bier,das (neutrum),Bier,beer,Restaurant,Das Bier ist kalt.,The beer is cold.,Bier/Biere,—
2110,der Wein,der (maskulin),Wein,wine,Restaurant,Der Wein ist rot.,The wine is red.,Weine,—
2111,der Kaffee,der (maskulin),Kaffee,coffee,Restaurant,Der Kaffee ist heiß.,The coffee is hot.,— (Unzählbar),—
2112,das Fleisch,das (neutrum),Fleisch,meat,Restaurant,Das Fleisch ist fertig.,The meat is done.,— (Unzählbar),—
2113,der Fisch,der (maskulin),Fisch,fish,Restaurant,Der Fisch ist frisch.,The fish is fresh.,Fische,—
2114,vegetarisch,adjektiv,Vegetarisch,vegetarian,Restaurant,Ich esse vegetarisch.,I eat vegetarian.,—,—
2115,vegan,adjektiv,Vegan,vegan,Restaurant,Das Essen ist vegan.,The food is vegan.,—,—
2116,die Rechnung,die (feminin),Rechnung,bill,Restaurant,Die Rechnung bitte!,The bill please!,Rechnungen,Rechnung
2117,das Trinkgeld,das (neutrum),Trinkgeld,tip,Restaurant,Das Trinkgeld ist inklusive.,The tip is included.,Trinkgelder,—
2118,Guten Appetit,Phrase,—,Enjoy your meal,Restaurant,Guten Appetit!,Enjoy your meal!,—,—
2119,Prost,Phrase,—,Cheers,Restaurant,Prost!,Cheers!,—,—
2120,lecker,adjektiv,Lecker,delicious,Restaurant,Das Essen ist lecker.,The food is delicious.,—,—
2121,bestellen,Verb,bestellen,to order,Restaurant,Ich möchte bestellen.,I would like to order.,—,—
2122,zahlen,Verb,zahlen,to pay,Restaurant,Ich muss zahlen.,I have to pay.,—,—
2123,bezahlen,Verb,bezahlen,to pay,Restaurant,Ich bezahle mit Karte.,I pay with card.,—,—
2124,die Hauptspeise,die (feminin),Hauptspeise,main course,Restaurant,Die Hauptspeise ist groß.,The main course is large.,Hauptspeisen,Hauptspeise
2125,die Nachspeise,die (feminin),Nachspeise,dessert,Restaurant,Die Nachspeise ist köstlich.,The dessert is delicious.,Nachspeisen,Nachspeise
2126,das Hotel,das (neutrum),Hotel,hotel,Hotel,Das Hotel ist bequem.,The hotel is comfortable.,Hotels,—
2127,die Rezeption,die (feminin),Rezeption,reception,Hotel,Die Rezeption ist rund um die Uhr besetzt.,The reception is staffed 24/7.,—,Rezeption
2128,der Rezeptionist,der (maskulin),Rezeptionist,receptionist,Hotel,Der Rezeptionist ist hilfsbereit.,The receptionist is helpful.,Rezeptionisten,Rezeptionistin
2129,die Reservierung,die (feminin),Reservierung,reservation,Hotel,Ich habe eine Reservierung.,I have a reservation.,Reservierungen,Reservierung
2130,die Buchung,die (feminin),Buchung,booking,Hotel,Die Buchung ist bestätigt.,The booking is confirmed.,Buchungen,Buchung
2131,der Schlüssel,der (maskulin),Schlüssel,key,Hotel,Der Schlüssel ist im Zimmer.,The key is in the room.,Schlüssel,—
2132,die Schlüsselkarte,die (feminin),Schlüsselkarte,key card,Hotel,Die Schlüsselkarte funktioniert nicht.,The key card doesn't work.,Schlüsselkarten,Schlüsselkarte
2133,der Reisepass,der (maskulin),Reisepass,passport,Hotel,Der Reisepass liegt an der Rezeption.,The passport is at reception.,Reisepässe,—
2134,das Formular,das (neutrum),Formular,form,Hotel,Das Formular muss ausgefüllt werden.,The form must be filled out.,Formulare,—
2135,das Zimmer,das (neutrum),Zimmer,room,Hotel,Das Zimmer ist groß.,The room is large.,Zimmer,—
2136,das Einzelzimmer,das (neutrum),Einzelzimmer,single room,Hotel,Das Einzelzimmer ist günstiger.,The single room is cheaper.,Einzelzimmer,—
2137,das Doppelzimmer,das (neutrum),Doppelzimmer,double room,Hotel,Das Doppelzimmer hat zwei Betten.,The double room has two beds.,Doppelzimmer,—
2138,das Bett,das (neutrum),Bett,bed,Hotel,Das Bett ist weich.,The bed is soft.,Betten,—
2139,das Badezimmer,das (neutrum),Badezimmer,bathroom,Hotel,Das Badezimmer ist sauber.,The bathroom is clean.,Badezimmer,—
2140,die Dusche,die (feminin),Dusche,shower,Hotel,Die Dusche hat warmes Wasser.,The shower has hot water.,Duschen,Dusche
2141,das Handtuch,das (neutrum),Handtuch,towel,Hotel,Das Handtuch ist feucht.,The towel is damp.,Handtücher,—
2142,die Klimaanlage,die (feminin),Klimaanlage,air conditioning,Hotel,Die Klimaanlage ist stark.,The air conditioning is strong.,Klimaanlagen,Klimaanlage
2143,die Heizung,die (feminin),Heizung,heating,Hotel,Die Heizung ist warm.,The heating is warm.,Heizungen,Heizung
2144,der Fernseher,der (maskulin),Fernseher,TV,Hotel,Der Fernseher ist groß.,The TV is large.,Fernseher,—
2145,das WLAN,das (neutrum),WLAN,Wi-Fi,Hotel,Das WLAN ist kostenlos.,The Wi-Fi is free.,—,—
2146,der Aufzug,der (maskulin),Aufzug,elevator,Hotel,Der Aufzug ist schnell.,The elevator is fast.,Aufzüge,—
2147,die Etage,die (feminin),Etage,floor,Hotel,Das Zimmer ist in der 3. Etage.,The room is on the 3rd floor.,Etagen,Etage
2148,das Frühstück,das (neutrum),Frühstück,breakfast,Hotel,Das Frühstück ist inklusive.,Breakfast is included.,Frühstücke,—
2149,der Zimmerservice,der (maskulin),Zimmerservice,room service,Hotel,Der Zimmerservice ist teuer.,Room service is expensive.,—,—
2150,der Wäscheservice,der (maskulin),Wäscheservice,laundry service,Hotel,Der Wäscheservice kostet extra.,Laundry service costs extra.,—,—
2151,der Parkplatz,der (maskulin),Parkplatz,parking,Hotel,Der Parkplatz ist frei.,The parking is free.,Parkplätze,—
2152,der Pool,der (maskulin),Pool,pool,Hotel,Der Pool ist offen.,The pool is open.,Pools,—
2153,das Fitnessstudio,das (neutrum),Fitnessstudio,gym,Hotel,Das Fitnessstudio ist modern.,The gym is modern.,Fitnessstudios,—
2154,der Wellnessbereich,der (maskulin),Wellnessbereich,wellness area,Hotel,Der Wellnessbereich ist ruhig.,The wellness area is quiet.,Wellnessbereiche,—
2155,die Anreise,die (feminin),Anreise,arrival,Hotel,Die Anreise ist ab 15 Uhr.,Arrival is from 3 PM.,—,Anreise
2156,die Abreise,die (feminin),Abreise,departure/check-out,Hotel,Die Abreise ist bis 11 Uhr.,Check-out is until 11 AM.,—,Abreise
2157,die Rechnung,die (feminin),Rechnung,bill,Hotel,Die Rechnung ist korrekt.,The bill is correct.,Rechnungen,Rechnung
2158,das Trinkgeld,das (neutrum),Trinkgeld,tip,Hotel,Das Trinkgeld ist optional.,The tip is optional.,Trinkgelder,—
2159,der Safe,der (maskulin),Safe,safe,Hotel,Der Safe ist im Zimmer.,The safe is in the room.,Safes,—
2160,der Notausgang,der (maskulin),Notausgang,emergency exit,Hotel,Der Notausgang ist rechts.,The emergency exit is on the right.,Notausgänge,—
2161,buchen,Verb,buchen,to book,Hotel,Ich möchte buchen.,I would like to book.,—,—
2162,reservieren,Verb,reservieren,to reserve,Hotel,Ich möchte reservieren.,I would like to reserve.,—,—
2163,einchecken,Verb,einchecken,to check in,Hotel,Ich muss einchecken.,I need to check in.,—,—
2164,auschecken,Verb,auschecken,to check out,Hotel,Ich muss auschecken.,I need to check out.,—,—
2165,bezahlen,Verb,bezahlen,to pay,Hotel,Ich bezahle mit Karte.,I pay with card.,—,—
2166,stornieren,Verb,stornieren,to cancel,Hotel,Ich möchte stornieren.,I would like to cancel.,—,—
2167,das Stockwerk,das (neutrum),Stockwerk,floor,Hotel,Das Zimmer ist im 2. Stockwerk.,The room is on the 2nd floor.,Stockwerke,—
2168,das Geschäft,das (neutrum),Geschäft,shop/store,Shopping,Das Geschäft ist klein.,The shop is small.,Geschäfte,—
2169,der Laden,der (maskulin),Laden,shop/store,Shopping,Der Laden ist offen.,The store is open.,Läden,—
2170,der Supermarkt,der (maskulin),Supermarkt,supermarket,Shopping,Der Supermarkt ist groß.,The supermarket is large.,Supermärkte,—
2171,das Kaufhaus,das (neutrum),Kaufhaus,department store,Shopping,Das Kaufhaus hat viele Stockwerke.,The department store has many floors.,Kaufhäuser,—
2172,das Einkaufszentrum,das (neutrum),Einkaufszentrum,shopping mall,Shopping,Das Einkaufszentrum ist voll.,The shopping mall is crowded.,Einkaufszentren,—
2173,die Kasse,die (feminin),Kasse,cashier/check-out,Shopping,Die Kasse ist besetzt.,The cashier is occupied.,Kassen,Kasse
2174,die Umkleidekabine,die (feminin),Umkleidekabine,fitting room,Shopping,Die Umkleidekabine ist frei.,The fitting room is free.,Umkleidekabinen,Umkleidekabine
2175,der Ausgang,der (maskulin),Ausgang,exit,Shopping,Der Ausgang ist rechts.,The exit is on the right.,Ausgänge,—
2176,der Eingang,der (maskulin),Eingang,entrance,Shopping,Der Eingang ist links.,The entrance is on the left.,Eingänge,—
2177,der Preis,der (maskulin),Preis,price,Shopping,Der Preis ist hoch.,The price is high.,Preise,—
2178,das Geld,das (neutrum),Geld,money,Shopping,Das Geld ist weg.,The money is gone.,— (Unzählbar),—
2179,die Rechnung,die (feminin),Rechnung,bill/receipt,Shopping,Die Rechnung bitte!,The bill please!,Rechnungen,Rechnung
2180,die Quittung,die (feminin),Quittung,receipt,Shopping,Die Quittung ist wichtig.,The receipt is important.,Quittungen,Quittung
2181,der Kassenbon,der (maskulin),Kassenbon,receipt,Shopping,Der Kassenbon ist lang.,The receipt is long.,Kassenbons,—
2182,das Bargeld,das (neutrum),Bargeld,cash,Shopping,Ich habe Bargeld dabei.,I have cash with me.,— (Unzählbar),—
2183,die Kreditkarte,die (feminin),Kreditkarte,credit card,Shopping,Die Kreditkarte wird akzeptiert.,Credit card is accepted.,Kreditkarten,Kreditkarte
2184,die Bankkarte,die (feminin),Bankkarte,bank card,Shopping,Die Bankkarte funktioniert nicht.,The bank card doesn't work.,Bankkarten,Bankkarte
2185,das Wechselgeld,das (neutrum),Wechselgeld,change,Shopping,Das Wechselgeld stimmt nicht.,The change is wrong.,— (Unzählbar),—
2186,das Trinkgeld,das (neutrum),Trinkgeld,tip,Shopping,Das Trinkgeld ist optional.,The tip is optional.,Trinkgelder,—
2187,der Rabatt,der (maskulin),Rabatt,discount,Shopping,Der Rabatt ist groß.,The discount is large.,Rabatte,—
2188,das Angebot,das (neutrum),Angebot,offer/deal,Shopping,Das Angebot ist gut.,The offer is good.,Angebote,—
2189,der Ausverkauf,der (maskulin),Ausverkauf,sale/clearance,Shopping,Der Ausverkauf ist jetzt.,The sale is now.,Ausverkäufe,—
2190,die Ware,die (feminin),Ware,goods/merchandise,Shopping,Die Ware ist gut.,The goods are good.,Waren,Ware
2191,das Produkt,das (neutrum),Produkt,product,Shopping,Das Produkt ist neu.,The product is new.,Produkte,—
2192,die Kleidung,die (feminin),Kleidung,clothing,Shopping,Die Kleidung ist schön.,The clothing is nice.,— (Unzählbar),Kleidung
2193,das Lebensmittel,das (neutrum),Lebensmittel,food/grocery,Shopping,Das Lebensmittel ist frisch.,The food is fresh.,Lebensmittel,—
2194,die Einkaufstüte,die (feminin),Einkaufstüte,shopping bag,Shopping,Die Einkaufstüte ist leer.,The shopping bag is empty.,Einkaufstüten,Einkaufstüte
2195,der Einkaufskorb,der (maskulin),Einkaufskorb,shopping basket,Shopping,Der Einkaufskorb ist voll.,The shopping basket is full.,Einkaufskörbe,—
2196,der Einkaufswagen,der (maskulin),Einkaufswagen,shopping cart,Shopping,Der Einkaufswagen ist kaputt.,The shopping cart is broken.,Einkaufswagen,—
2197,die Größe,die (feminin),Größe,size,Shopping,Die Größe ist M.,The size is M.,Größen,Größe
2198,die Farbe,die (feminin),Farbe,color,Shopping,Die Farbe ist rot.,The color is red.,Farben,Farbe
2199,einkaufen,Verb,einkaufen,to shop,Shopping,Ich möchte einkaufen.,I want to shop.,—,—
2200,kaufen,Verb,kaufen,to buy,Shopping,Ich kaufe ein Hemd.,I buy a shirt.,—,—
